id,gold_relation,suggested_relation,head_type,head_text,tail_type,tail_text,source_url,sentence,marked_text,memo
938a6b29a9c0039e,,REFERENCES_ATTACHMENT,Notice,가천대학교 국제교류처,Attachment,다운로드,https://oia.gachon.ac.kr/international/a/m/immigrationApp.do,다운로드,[E1] 가천대학교 국제교류처 [/E1] [E2] 다운로드 [/E2],
6d3d309c7132157c,,REFERENCES_ATTACHMENT,Page,비자 변경 및 연장,Attachment,다운로드,https://oia.gachon.ac.kr/international/a/m/immigrationExtention.do,다운로드,[E1] 비자 변경 및 연장 [/E1] [E2] 다운로드 [/E2],
8b85a3afda7e988a,,REFERENCES_ATTACHMENT,Notice,가천대학교 국제교류처,Attachment,https://oia.gachon.ac.kr/sample/residence_confirmation_letter.pdf,https://oia.gachon.ac.kr/international/a/m/immigrationExtention.do,https://oia.gachon.ac.kr/sample/residence_confirmation_letter.pdf,[E1] 가천대학교 국제교류처 [/E1] [E2] https://oia.gachon.ac.kr/sample/residence_confirmation_letter.pdf [/E2],
7b4e23c38da143d8,,REFERENCES_ATTACHMENT,Page,외국인등록증 신청 및 재발급,Attachment,다운로드,https://oia.gachon.ac.kr/international/a/m/immigrationApp.do,다운로드,[E1] 외국인등록증 신청 및 재발급 [/E1] [E2] 다운로드 [/E2],
433fa404478496b4,,REFERENCES_ATTACHMENT,Notice,가천대학교 국제교류처,Attachment,브로슈어 다운로드,https://oia.gachon.ac.kr/international/a/m/gStepIntro.do,브로슈어 다운로드,[E1] 가천대학교 국제교류처 [/E1] [E2] 브로슈어 다운로드 [/E2],
e9d7f8044e9e82e6,,REFERENCES_ATTACHMENT,Notice,가천대학교 국제교류처,Attachment,다운로드,https://oia.gachon.ac.kr/international/a/m/immigrationExtention.do,다운로드,[E1] 가천대학교 국제교류처 [/E1] [E2] 다운로드 [/E2],
582b3db33189e329,,REFERENCES_ATTACHMENT,Page,발전기금,Attachment,약정서 다운로드(한글),https://oia.gachon.ac.kr/international/a/m/supportGu.do,약정서 다운로드(한글),[E1] 발전기금 [/E1] [E2] 약정서 다운로드(한글) [/E2],
4f9b0909439c5e17,,REFERENCES_ATTACHMENT,Page,강사 상시모집,Attachment,지원서 다운로드,https://oia.gachon.ac.kr/international/a/m/krCenterRecruitment.do,지원서 다운로드,[E1] 강사 상시모집 [/E1] [E2] 지원서 다운로드 [/E2],
35d243cacd414de1,,REFERENCES_ATTACHMENT,Notice,가천대학교 국제교류처,Attachment,지원서 다운로드,https://oia.gachon.ac.kr/international/a/m/krCenterRecruitment.do,지원서 다운로드,[E1] 가천대학교 국제교류처 [/E1] [E2] 지원서 다운로드 [/E2],
7be6cb0969fcc151,,REFERENCES_ATTACHMENT,Page,G-STEP 소개,Attachment,브로슈어 다운로드,https://oia.gachon.ac.kr/international/a/m/gStepIntro.do,브로슈어 다운로드,[E1] G-STEP 소개 [/E1] [E2] 브로슈어 다운로드 [/E2],
09f2e90b26b25756,,REFERENCES_ATTACHMENT,Notice,가천대학교 국제교류처,Attachment,약정서 다운로드(영문),https://oia.gachon.ac.kr/international/a/m/supportGu.do,약정서 다운로드(영문),[E1] 가천대학교 국제교류처 [/E1] [E2] 약정서 다운로드(영문) [/E2],
cf36b5ac585954cf,,REFERENCES_ATTACHMENT,Page,발전기금,Attachment,약정서 다운로드(영문),https://oia.gachon.ac.kr/international/a/m/supportGu.do,약정서 다운로드(영문),[E1] 발전기금 [/E1] [E2] 약정서 다운로드(영문) [/E2],
c0dd9b8ae35eddad,,REFERENCES_ATTACHMENT,Notice,가천대학교 국제교류처,Attachment,약정서 다운로드(한글),https://oia.gachon.ac.kr/international/a/m/supportGu.do,약정서 다운로드(한글),[E1] 가천대학교 국제교류처 [/E1] [E2] 약정서 다운로드(한글) [/E2],
824585a481bbb2ab,,REFERENCES_ATTACHMENT,Page,비자 변경 및 연장,Attachment,https://oia.gachon.ac.kr/sample/residence_confirmation_letter.pdf,https://oia.gachon.ac.kr/international/a/m/immigrationExtention.do,https://oia.gachon.ac.kr/sample/residence_confirmation_letter.pdf,[E1] 비자 변경 및 연장 [/E1] [E2] https://oia.gachon.ac.kr/sample/residence_confirmation_letter.pdf [/E2],
