id,gold_relation,suggested_relation,head_type,head_text,tail_type,tail_text,source_url,sentence,marked_text,memo
b05f004d82a82ecb,,MENTIONS_EXAM_LEVEL,Event,신청방법,ExamLevel,TOPIK Ⅰ,https://oia.gachon.ac.kr/international/a/m/topikList.do,"신청방법 TOPIK은 연간 6회(1월, 3월, 4월, 7월, 10월, 11월)시행되며, 구체적인 시험일정은 TOPIK 홈페이지에 공지됩니다. TOPIK의 평가등급은 초급자를 대상으로 하는 TOPIK Ⅰ(1~2급), 중·고급자를 대상으로 하는 TOPIK Ⅱ(3~6급)로 나뉘며, 시험성적에 따라 평가등급이 결정됩니다. 시험신...","[E1] 신청방법 [/E1] TOPIK은 연간 6회(1월, 3월, 4월, 7월, 10월, 11월)시행되며, 구체적인 시험일정은 TOPIK 홈페이지에 공지됩니다. TOPIK의 평가등급은 초급자를 대상으로 하는 [E2] TOPIK Ⅰ [/E2](1~2급), 중·고급자를 대상으로 하는 TOPIK Ⅱ(3~6급)로 나뉘며, 시험성...",
fa4fcd24e64c39e6,,MENTIONS_EXAM_LEVEL,Event,어학 자격,ExamLevel,TOPIK 3급,https://oia.gachon.ac.kr/international/a/m/exchangeStudent.do,어학 자격 어학 자격 안내 어학 성적이 없는 학생 어학 성적이 없는 학생은 한국어교육센터에서 진행하는 한국어 수업과 1~2개의 한국어/한국문화와 관련된 정해진 가천대학교 정규 교양수업을 들어야 합니다. 1) 학생들은 가천대학교 도착 후 한국어테스트를 받아야 합니다. 2) 테스트 결과에 따라 한국어 수업 반 배정이 됩니다....,[E1] 어학 자격 [/E1] 어학 자격 안내 어학 성적이 없는 학생 어학 성적이 없는 학생은 한국어교육센터에서 진행하는 한국어 수업과 1~2개의 한국어/한국문화와 관련된 정해진 가천대학교 정규 교양수업을 들어야 합니다. 1) 학생들은 가천대학교 도착 후 한국어테스트를 받아야 합니다. 2) 테스트 결과에 따라 한국어 수업...,
133403ab87918e1f,,MENTIONS_EXAM_LEVEL,Page,소개,ExamLevel,TOPIK 1급,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,TOPIK 1급,[E1] 소개 [/E1] [E2] TOPIK 1급 [/E2],
25f0538e8b04d9dd,,MENTIONS_EXAM_LEVEL,Event,한국어 교육센터 소개,ExamLevel,토픽 4급,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,"한국어 교육센터 소개 가천대학교 국제교류처 한국어교육센터는 2004년 국제어학원 한국어과정으로 시작하여, 한국어 세계화의 전문적인 기관이라는 목표로 2012년 국제교류처 한국어교육센터로 확대 개편되었습니다. 한국어 정규과정은 국내 대학 진학을 목적으로 하는 외국인 유학생과 한국어를 배우고자 하는 외국인, 교포 자녀들을 위...","[E1] 한국어 교육센터 소개 [/E1] 가천대학교 국제교류처 한국어교육센터는 2004년 국제어학원 한국어과정으로 시작하여, 한국어 세계화의 전문적인 기관이라는 목표로 2012년 국제교류처 한국어교육센터로 확대 개편되었습니다. 한국어 정규과정은 국내 대학 진학을 목적으로 하는 외국인 유학생과 한국어를 배우고자 하는 외국인...",
4c1c87c4d13b3e2b,,MENTIONS_EXAM_LEVEL,Page,외국인학생,ExamLevel,TOPIKⅡ,https://oia.gachon.ac.kr/clientMain/a/t/internationalMain.do,TOPIKⅡ,[E1] 외국인학생 [/E1] [E2] TOPIKⅡ [/E2],
3a429e8a22dfef70,,MENTIONS_EXAM_LEVEL,Event,2026학년도 1학기 한국어능력 졸업인증 대체시험,ExamLevel,TOPIK II,https://oia.gachon.ac.kr/clientMain/a/t/internationalMain.do,공지사항 08 2026 . 05 2026학년도 1학기 한국어능력 졸업인증 대체시험 (외국인유학생대상) 2026학년도 1학기 한국어능력 졸업인증 대체시험(외국인유학생대상)국제교류처에서 2026년도 1학기 한국어능력 졸업인증 대체시험을 운영합니다.한국어능력 졸업인증을 하지 못한 외국인유학생은 아래사항을 확인하여 졸업에 차질이 없도록 대비 바랍니다.대체시험을...,공지사항 08 2026 . 05 [E1] 2026학년도 1학기 한국어능력 졸업인증 대체시험 [/E1] (외국인유학생대상) 2026학년도 1학기 한국어능력 졸업인증 대체시험(외국인유학생대상)국제교류처에서 2026년도 1학기 한국어능력 졸업인증 대체시험을 운영합니다.한국어능력 졸업인증을 하지 못한 외국인유학생은 아래사항을 확인하여 졸업에 차질이 없도록 대비...,
f36eeb809a1bc617,,MENTIONS_EXAM_LEVEL,Event,교과과정 안내,ExamLevel,TOPIK 5급,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,"교과과정 안내 교과과정 목록 <th scope=""col"">초급</th> <th scope=""col"">중급</th> <th scope=""col"">고급</th> <th scope=""col"">최고급</th> <td class=""ta_c""> 1 - 2 과정 (TOPIK 1, 2급 수준) </td> <td class=""ta_c"">...","[E1] 교과과정 안내 [/E1] 교과과정 목록 <th scope=""col"">초급</th> <th scope=""col"">중급</th> <th scope=""col"">고급</th> <th scope=""col"">최고급</th> <td class=""ta_c""> 1 - 2 과정 (TOPIK 1, 2급 수준) </td> <td cl...",
50982849f3cd741e,,MENTIONS_EXAM_LEVEL,Event,한국어 교육센터 소개,ExamLevel,TOPIK 6급,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,"한국어 교육센터 소개 가천대학교 국제교류처 한국어교육센터는 2004년 국제어학원 한국어과정으로 시작하여, 한국어 세계화의 전문적인 기관이라는 목표로 2012년 국제교류처 한국어교육센터로 확대 개편되었습니다. 한국어 정규과정은 국내 대학 진학을 목적으로 하는 외국인 유학생과 한국어를 배우고자 하는 외국인, 교포 자녀들을 위...","[E1] 한국어 교육센터 소개 [/E1] 가천대학교 국제교류처 한국어교육센터는 2004년 국제어학원 한국어과정으로 시작하여, 한국어 세계화의 전문적인 기관이라는 목표로 2012년 국제교류처 한국어교육센터로 확대 개편되었습니다. 한국어 정규과정은 국내 대학 진학을 목적으로 하는 외국인 유학생과 한국어를 배우고자 하는 외국인...",
fe59f14ebfcc6d40,,MENTIONS_EXAM_LEVEL,Page,외국인 교환학생,ExamLevel,TOPIK 3급,https://oia.gachon.ac.kr/international/a/m/exchangeStudent.do,TOPIK 3급,[E1] 외국인 교환학생 [/E1] [E2] TOPIK 3급 [/E2],
cf6e8deca79bf73c,,MENTIONS_EXAM_LEVEL,Page,TOPIK,ExamLevel,TOPIK Ⅱ,https://oia.gachon.ac.kr/international/a/m/topikList.do,TOPIK Ⅱ,[E1] TOPIK [/E1] Ⅱ [E2] TOPIK Ⅱ [/E2],
fa91f1f3308fce37,,MENTIONS_EXAM_LEVEL,Page,소개,ExamLevel,TOPIK 3급,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,TOPIK 3급,[E1] 소개 [/E1] [E2] TOPIK 3급 [/E2],
80dba87e6cf037fb,,MENTIONS_EXAM_LEVEL,Event,교과과정 안내,ExamLevel,TOPIK 1급,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,"교과과정 안내 교과과정 목록 <th scope=""col"">초급</th> <th scope=""col"">중급</th> <th scope=""col"">고급</th> <th scope=""col"">최고급</th> <td class=""ta_c""> 1 - 2 과정 (TOPIK 1, 2급 수준) </td> <td class=""ta_c"">...","[E1] 교과과정 안내 [/E1] 교과과정 목록 <th scope=""col"">초급</th> <th scope=""col"">중급</th> <th scope=""col"">고급</th> <th scope=""col"">최고급</th> <td class=""ta_c""> 1 - 2 과정 (TOPIK 1, 2급 수준) </td> <td cl...",
ffa5968d3217f87b,,MENTIONS_EXAM_LEVEL,Page,TOPIK,ExamLevel,TOPIK Ⅰ,https://oia.gachon.ac.kr/international/a/m/topikList.do,TOPIK Ⅰ,[E1] TOPIK [/E1] Ⅰ [E2] TOPIK Ⅰ [/E2],
2f1ca8f47115f19e,,MENTIONS_EXAM_LEVEL,Event,2026학년도 1학기 한국어능력 졸업인증 대체시험,ExamLevel,TOPIKⅡ,https://oia.gachon.ac.kr/clientMain/a/t/internationalMain.do,공지사항 08 2026 . 05 2026학년도 1학기 한국어능력 졸업인증 대체시험 (외국인유학생대상) 2026학년도 1학기 한국어능력 졸업인증 대체시험(외국인유학생대상)국제교류처에서 2026년도 1학기 한국어능력 졸업인증 대체시험을 운영합니다.한국어능력 졸업인증을 하지 못한 외국인유학생은 아래사항을 확인하여 졸업에 차질이 없도록 대비 바랍니다.대체시험을...,공지사항 08 2026 . 05 [E1] 2026학년도 1학기 한국어능력 졸업인증 대체시험 [/E1] (외국인유학생대상) 2026학년도 1학기 한국어능력 졸업인증 대체시험(외국인유학생대상)국제교류처에서 2026년도 1학기 한국어능력 졸업인증 대체시험을 운영합니다.한국어능력 졸업인증을 하지 못한 외국인유학생은 아래사항을 확인하여 졸업에 차질이 없도록 대비...,
f605683a3264afda,,MENTIONS_EXAM_LEVEL,Page,외국인학생,ExamLevel,TOPIK4급,https://oia.gachon.ac.kr/clientMain/a/t/internationalMain.do,TOPIK4급,[E1] 외국인학생 [/E1] [E2] TOPIK4급 [/E2],
4d06b5380a18f533,,MENTIONS_EXAM_LEVEL,Event,교과과정 안내,ExamLevel,TOPIK 2급,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,"교과과정 안내 교과과정 목록 <th scope=""col"">초급</th> <th scope=""col"">중급</th> <th scope=""col"">고급</th> <th scope=""col"">최고급</th> <td class=""ta_c""> 1 - 2 과정 (TOPIK 1, 2급 수준) </td> <td class=""ta_c"">...","[E1] 교과과정 안내 [/E1] 교과과정 목록 <th scope=""col"">초급</th> <th scope=""col"">중급</th> <th scope=""col"">고급</th> <th scope=""col"">최고급</th> <td class=""ta_c""> 1 - 2 과정 (TOPIK 1, 2급 수준) </td> <td cl...",
42a03e42f0c0b947,,MENTIONS_EXAM_LEVEL,Event,2026학년도 1학기 한국어능력 졸업인증 대체시험,ExamLevel,TOPIK4급,https://oia.gachon.ac.kr/clientMain/a/t/internationalMain.do,공지사항 08 2026 . 05 2026학년도 1학기 한국어능력 졸업인증 대체시험 (외국인유학생대상) 2026학년도 1학기 한국어능력 졸업인증 대체시험(외국인유학생대상)국제교류처에서 2026년도 1학기 한국어능력 졸업인증 대체시험을 운영합니다.한국어능력 졸업인증을 하지 못한 외국인유학생은 아래사항을 확인하여 졸업에 차질이 없도록 대비 바랍니다.대체시험을...,공지사항 08 2026 . 05 [E1] 2026학년도 1학기 한국어능력 졸업인증 대체시험 [/E1] (외국인유학생대상) 2026학년도 1학기 한국어능력 졸업인증 대체시험(외국인유학생대상)국제교류처에서 2026년도 1학기 한국어능력 졸업인증 대체시험을 운영합니다.한국어능력 졸업인증을 하지 못한 외국인유학생은 아래사항을 확인하여 졸업에 차질이 없도록 대비...,
d8c47dbe61e22d31,,MENTIONS_EXAM_LEVEL,Event,한국어 교육센터 소개,ExamLevel,TOPIK 5급,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,"한국어 교육센터 소개 가천대학교 국제교류처 한국어교육센터는 2004년 국제어학원 한국어과정으로 시작하여, 한국어 세계화의 전문적인 기관이라는 목표로 2012년 국제교류처 한국어교육센터로 확대 개편되었습니다. 한국어 정규과정은 국내 대학 진학을 목적으로 하는 외국인 유학생과 한국어를 배우고자 하는 외국인, 교포 자녀들을 위...","[E1] 한국어 교육센터 소개 [/E1] 가천대학교 국제교류처 한국어교육센터는 2004년 국제어학원 한국어과정으로 시작하여, 한국어 세계화의 전문적인 기관이라는 목표로 2012년 국제교류처 한국어교육센터로 확대 개편되었습니다. 한국어 정규과정은 국내 대학 진학을 목적으로 하는 외국인 유학생과 한국어를 배우고자 하는 외국인...",
027893474b4e196a,,MENTIONS_EXAM_LEVEL,Event,교과과정 안내,ExamLevel,TOPIK 6급,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,"교과과정 안내 교과과정 목록 <th scope=""col"">초급</th> <th scope=""col"">중급</th> <th scope=""col"">고급</th> <th scope=""col"">최고급</th> <td class=""ta_c""> 1 - 2 과정 (TOPIK 1, 2급 수준) </td> <td class=""ta_c"">...","[E1] 교과과정 안내 [/E1] 교과과정 목록 <th scope=""col"">초급</th> <th scope=""col"">중급</th> <th scope=""col"">고급</th> <th scope=""col"">최고급</th> <td class=""ta_c""> 1 - 2 과정 (TOPIK 1, 2급 수준) </td> <td cl...",
263f88e466f019ca,,MENTIONS_EXAM_LEVEL,Event,교과과정 안내,ExamLevel,TOPIK 3급,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,"교과과정 안내 교과과정 목록 <th scope=""col"">초급</th> <th scope=""col"">중급</th> <th scope=""col"">고급</th> <th scope=""col"">최고급</th> <td class=""ta_c""> 1 - 2 과정 (TOPIK 1, 2급 수준) </td> <td class=""ta_c"">...","[E1] 교과과정 안내 [/E1] 교과과정 목록 <th scope=""col"">초급</th> <th scope=""col"">중급</th> <th scope=""col"">고급</th> <th scope=""col"">최고급</th> <td class=""ta_c""> 1 - 2 과정 (TOPIK 1, 2급 수준) </td> <td cl...",
9e4139ad25165a3f,,MENTIONS_EXAM_LEVEL,Event,교과과정 안내,ExamLevel,TOPIK 4급,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,"교과과정 안내 교과과정 목록 <th scope=""col"">초급</th> <th scope=""col"">중급</th> <th scope=""col"">고급</th> <th scope=""col"">최고급</th> <td class=""ta_c""> 1 - 2 과정 (TOPIK 1, 2급 수준) </td> <td class=""ta_c"">...","[E1] 교과과정 안내 [/E1] 교과과정 목록 <th scope=""col"">초급</th> <th scope=""col"">중급</th> <th scope=""col"">고급</th> <th scope=""col"">최고급</th> <td class=""ta_c""> 1 - 2 과정 (TOPIK 1, 2급 수준) </td> <td cl...",
