id,gold_relation,suggested_relation,head_type,head_text,tail_type,tail_text,source_url,sentence,marked_text,memo
021845003d8cb737,,mentions,Notice,1st Gachon Pride Graduate Alunmi 2014.12.02,Event,1st Gachon Pride Graduate Alunmi 2014.12.02,https://oia.gachon.ac.kr/international/a/m/alumniStory.do,1st Gachon Pride Graduate Alunmi 2014.12.02 1st Gachon Pride Alumni 2014.09.26,[E1] [E2] 1st Gachon Pride Graduate Alunmi 2014.12.02 [/E2] [/E1] 1st Gachon Pride Alumni 2014.09.26,
68787086d9341b99,,mentions,Notice,section-3,Event,section-3,https://oia.gachon.ac.kr/international/a/m/culturePro.do,Weekend-Go 프로그램은 주중의 바쁜 학업생활에서 벗어나 주말을 활용해 한국 문화 체험을 할 수 있는 프로그램입니다. 유학생의 선호도가 높고 한국의 문화를 알아갈 수 있는 프로그램으로 기획되어 즐거움과 유익함을 모두 얻을 수 있습니다. 프로그램은 상시로 공지되므로 관심이 있는 학생은 문화체험 공지사항을 참고하시길 바랍니다,[E1] [E2] section-3 [/E2] [/E1] Weekend-Go 프로그램은 주중의 바쁜 학업생활에서 벗어나 주말을 활용해 한국 문화 체험을 할 수 있는 프로그램입니다. 유학생의 선호도가 높고 한국의 문화를 알아갈 수 있는 프로그램으로 기획되어 즐거움과 유익함을 모두 얻을 수 있습니다. 프로그램은 상시로 공지되...,
9bb63e655e6e91a0,,mentions,Notice,section-6,Visa,section-6,https://oia.gachon.ac.kr/international/a/m/gStepSchedule.do,"간호학 교육 과정에서는 인간의 수명 전반에 걸친 건강 진단 기술과 지식을 학습합니다. 학생들은 수업을 통해 개인의 건강 상태에 따른 건강 기록과 신체 검사를 배울 수 있습니다. 의료 용어 수업에서는 실무에서 사용되는 전문 용어와 지식을 다룹니다. 또한 인체 구조와 기능, 병리학, 진단, 임상에 관련된 의학 및 간호 용어를 학습하게 됩니다. 간호학 교육 과정에는 문화체험 프로그램이 포함되어 있지 않으며 메디컬캠퍼스 (인천)에서 진행됩니다. 어학연수 비자 Session 1st day 2nd day 3rd day 4th day 5th day 6th day 7th day 8th day Morning Session (9:00~12:00) Airp",[E1] [E2] section-6 [/E2] [/E1] 간호학 교육 과정에서는 인간의 수명 전반에 걸친 건강 진단 기술과 지식을 학습합니다. 학생들은 수업을 통해 개인의 건강 상태에 따른 건강 기록과 신체 검사를 배울 수 있습니다. 의료 용어 수업에서는 실무에서 사용되는 전문 용어와 지식을 다룹니다. 또한 인체 구조와 ...,
c04904b6c7ce56bc,,mentions,Notice,section-8,Event,section-8,https://oia.gachon.ac.kr/international/a/m/guideFacilities.do,"※ 메디컬 캠퍼스 내선번호 032-820-**** 보험 보상 내용 <th scope=""col"">건물번호</th> <th scope=""col"">건물이름</th> <th scope=""col"">학과</th> <th scope=""col"">위치</th> <th scope=""col"">내선번호</th> 1 보건과학대학 2 약학대학 의예과 약학과 3 간호대학 간호학과 421호 8858 4 학생회관 치위생학과 203호 4370 응급구조학과 204호 4340 방사선학과 203호 4360 물리치료학과 204호 4420 의용생체공학과 205호 4430 운동재활복지학과 205호 4441 5 대운동장 <tr> <td class=""ta_c"" scope=""row"">","[E1] [E2] section-8 [/E2] [/E1] ※ 메디컬 캠퍼스 내선번호 032-820-**** 보험 보상 내용 <th scope=""col"">건물번호</th> <th scope=""col"">건물이름</th> <th scope=""col"">학과</th> <th scope=""col"">위치</th> <th scope=""...",
47942c5fb92b3287,,mentions,Notice,section-1,Event,section-1,https://oia.gachon.ac.kr/international/a/m/guideFacilities.do,글로벌 캠퍼스 메디컬캠퍼스 <span>1</span>가천관 <span>2</span>비전타워 <span>3</span>법과대학 <span>4</span>공과대학1 <span>5</span>공과대학2 <span>6</span>바이오나노 대학 <span>7</span>IT 대학 <span>8</span>한의과대학 <span>9</span>예술·체육대학1 <span>10</span>예술·체육대학2 <span>11</span>글로벌센터 <span>12</span>중앙도서관 <span>13</span>전자정보도서관 <span>14</span>대학원 <span>15</span>교육대학원 <span>16</span>산학협력관 <span>17</spa,[E1] [E2] section-1 [/E2] [/E1] 글로벌 캠퍼스 메디컬캠퍼스 <span>1</span>가천관 <span>2</span>비전타워 <span>3</span>법과대학 <span>4</span>공과대학1 <span>5</span>공과대학2 <span>6</span>바이오나노 대학 <span>7</span>...,
39f1e2b976c6561e,,mentions,Notice,외국인 등록증 재발급 서류,Visa,외국인 등록증 재발급 서류,https://oia.gachon.ac.kr/international/a/m/immigrationApp.do,"외국인등록증을 분실한 경우 분실한 날로부터 14일 이내에 관할 출입국·외국인청에 다시 신청해야 합니다. (※ 변경일로부터 14일 이내 변경신고를 하지 않는 경우 과태료가 부과될 수 있습니다.) 외국인 등록증 재발급 서류 통합신청서 다운로드 여권 사본 <p>여권 사진 1장</p> <i>흰색 배경 3.5cm X 4.5cm, 6개월 이내 사진</i> 수수료 30,000원","외국인등록증을 분실한 경우 분실한 날로부터 14일 이내에 관할 출입국·외국인청에 다시 신청해야 합니다. (※ 변경일로부터 14일 이내 변경신고를 하지 않는 경우 과태료가 부과될 수 있습니다.) [E1] [E2] 외국인 등록증 재발급 서류 [/E2] [/E1] 통합신청서 다운로드 여권 사본 <p>여권 사진 1장</p> <i>흰색 배경 3.5cm X 4.5cm, 6개월 이내 사진</i> 수수료 30,000원",
7b81518e4d940954,,mentions,Notice,오전반,Event,오전반,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,"오전반 오전반 목록 <th scope=""row"">1교시</th> <td class=""ta_c"">09:00 ~ 09:50</td> <th scope=""row"">2교시</th> <td class=""ta_c"">10:00 ~ 10:50</td> <th scope=""row"">3교시</th> <td class=""ta_c"">11:10...","[E1] [E2] 오전반 [/E2] [/E1] 오전반 목록 <th scope=""row"">1교시</th> <td class=""ta_c"">09:00 ~ 09:50</td> <th scope=""row"">2교시</th> <td class=""ta_c"">10:00 ~ 10:50</td> <th scope=""row"">3교시</th> ...",
f0facd1187e59ca6,,mentions,Notice,가천 한국어 교재 시리즈 소개,Event,가천 한국어 교재 시리즈 소개,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,가천 한국어 교재 시리즈 소개 <strong>가천 한국어 5B</strong> <span><2020년 발간 예정></span> <strong>가천 한국어 6A</strong> <span><2020년 발간 예정></span> <strong>가천 한국어 6B</strong> <span><2020년 발간 예정></span>,[E1] [E2] 가천 한국어 교재 시리즈 소개 [/E2] [/E1] <strong>가천 한국어 5B</strong> <span><2020년 발간 예정></span> <strong>가천 한국어 6A</strong> <span><2020년 발간 예정></span> <strong>가천 한국어 6B</strong> <span>...,
23530b5d269b1083,,mentions,Notice,필요서류,Visa,D-4,https://oia.gachon.ac.kr/international/a/m/immigrationExtention.do,"<span>03</span> <strong>D-4 비자로 변경할 때</strong> <p>대학교에 진학하여 유학비자 (D-2)로 발급받고자 하는 학생은 개강 전까지 관할 출입국·외국인청을 방문하여 비자를 변경해야 합니다.</p> 필요서류 비자변경서류 통합신청서 다운로드 여권 사본 외국인 등록증 <p>여권 사진 1장</p> <i>흰색배경 3.5cm X 4.5cm,6...",<span>03</span> <strong>[E2] D-4 [/E2] 비자로 변경할 때</strong> <p>대학교에 진학하여 유학비자 (D-2)로 발급받고자 하는 학생은 개강 전까지 관할 출입국·외국인청을 방문하여 비자를 변경해야 합니다.</p> [E1] 필요서류 [/E1] 비자변경서류 통합신청서 다운로드 여권 사본 외국인 등록증 <p>여권 사진 1장</p> <...,
5d6912ee42a228e5,,mentions,Notice,2015,Event,2015,https://oia.gachon.ac.kr/international/a/m/gachonArchives.do,"2015 2015.10 제 2회 자랑스러운 가천동문 (Gachon Pride Alumni) 의 밤 개최 상세 이미지 보기 2015.09 제 1회 가천 한국어 골든벨 대회 개최 상세 이미지 보기 2015.08 교육부 1주기 대학구 조개혁평가 최우수 A등급 선정 2015.07 교육부·한국대학교육협의회 주관, 학부교육 선도대학...",[E1] [E2] 2015 [/E2] [/E1] 2015.10 제 2회 자랑스러운 가천동문 (Gachon Pride Alumni) 의 밤 개최 상세 이미지 보기 2015.09 제 1회 가천 한국어 골든벨 대회 개최 상세 이미지 보기 2015.08 교육부 1주기 대학구 조개혁평가 최우수 A등급 선정 2015.07 교육부·한...,
9a38f41d6b5db370,,mentions,Notice,section-15,Event,section-15,https://oia.gachon.ac.kr/international/a/m/immigrationApp.do,"외국인 등록증 단체 신청 안내 <span class=""btn_accordion""> </span>","[E1] [E2] section-15 [/E2] [/E1] 외국인 등록증 단체 신청 안내 <span class=""btn_accordion""> </span>",
1489cc0aab2092bc,,mentions,Notice,기금 출연에 대한 세제 혜택,Event,기금 출연에 대한 세제 혜택,https://oia.gachon.ac.kr/international/a/m/supportGu.do,"기금 출연에 대한 세제 혜택 개인의 근로소득, 이자소득, 배당소득 및 기타 소득을 기금으로 출연하신 경우에는 종합소득 금액의 공제 대상으로 과세대상에서 제외됩니다. (소득세법) 개인의 부동산소득, 사업소득, 산림소득을 기금으로 출연하신 경우에는 해당 년도의 필요경비로 인정하여 과세대상에서 제외됩니다. (소득세법) 개인의 ...","[E1] [E2] 기금 출연에 대한 세제 혜택 [/E2] [/E1] 개인의 근로소득, 이자소득, 배당소득 및 기타 소득을 기금으로 출연하신 경우에는 종합소득 금액의 공제 대상으로 과세대상에서 제외됩니다. (소득세법) 개인의 부동산소득, 사업소득, 산림소득을 기금으로 출연하신 경우에는 해당 년도의 필요경비로 인정하여 과세대...",
